"id","start","end","orig_string","parent_id","text_id","status","user_added_id","annotation_project_id","content_type_id","object_id"
113,1049,1059,,,11035,,12,1,,
114,9,18,,,11015,,12,1,,
115,456,460,,,11185,,12,1,,
116,436,452,,,11185,,12,1,,
117,577,583,,,11185,,12,1,,
118,73,85,Robert Fuchs,,46914,,12,1,39,92723
119,228,244,Hans Maria Fuchs,,46916,,12,1,39,92724
120,257,270,Hans Kloepfer,,46916,,12,1,39,92725
121,486,499,Hans Kloepfer,,46918,,12,1,39,92726
122,1070,1084,Amalia Materna,,46918,,12,1,39,92727
123,1275,1290,Wilhelm Gericke,,46918,,12,1,39,92728
124,1360,1374,Anton Bruckner,,46918,,12,1,,
125,1380,1398,Felix Otto Dessoff,,46918,,12,1,39,92729
126,2381,2396,Johannes Brahms,,46918,,12,1,39,92730
127,2836,2848,Hans Richter,,46918,,12,1,39,92731
128,2994,3008,Arthur Nikisch,,46918,,12,1,39,92732
129,3011,3023,Franz Schalk,,46918,,12,1,39,92733
130,3614,3625,Franz Krenn,,46918,,12,1,39,92734
131,4082,4095,Gustav Mahler,,46918,,12,1,39,92735
132,4098,4111,Franz Schmidt,,46918,,12,1,39,92736
133,4114,4128,Franz Schreker,,46918,,12,1,39,92737
134,4162,4170,Leo Fall,,46918,,12,1,39,92738
135,4187,4200,Edmund Eysler,,46918,,12,1,39,92739
136,4203,4220,Richard Heuberger,,46918,,12,1,39,92740
137,5143,5157,Franz Schubert,,46918,,12,1,39,92741
138,766,777,Jan Kvíčala,,46922,,12,1,39,92742
139,2106,2119,Antonín Rezek,,46922,,12,1,39,92743
140,2012,2029,Eduard Bitterlich,,46930,,12,3,,
142,663,677,Georg Jellinek,,46934,,12,1,39,92746
143,2156,2169,Josef Redlich,,46934,,12,1,39,92747
144,1815,1838,Emil Thewrewk von Ponor,,46936,,12,1,39,92748
145,2114,2129,Wilhelm Scherer,,46936,,12,1,39,92749
146,2037,2054,Antonín von Randa,,46940,,12,1,39,92750
147,1039,1056,Antonín von Randa,,46942,,12,1,39,92751
148,1711,1723,Robert Musil,,46944,,12,1,39,92752
149,1859,1884,Thomas (Garrigue) Masaryk,,46944,,12,1,39,92753
150,1966,1977,Karel Čapek,,46944,,12,1,39,92754
151,2047,2059,Kamil Krofta,,46944,,12,1,39,92755
152,2558,2578,Emil Jakob Schindler,,46946,,12,1,39,92756
153,2597,2608,Marie Egner,,46946,,12,1,39,92757
154,284,301,Vinzenz Chiavacci,,46950,,12,1,39,92758
155,661,679,Jakob Julius David,,46950,,12,1,39,92759
156,316,346,Johann Paul Inama von Sternegg,,46952,,12,1,39,92760
157,385,408,Karl Inama von Sternegg,,46952,,12,1,39,92761
158,1875,1894,Franz von Juraschek,,46952,,12,1,39,92762
159,3664,3681,Theodor Schäffler,,46952,,12,1,39,92763
160,317,334,Ludwig Gumplowicz,,46954,,12,1,39,92764
161,1416,1427,Ivan Franko,,46954,,12,1,39,92765
162,1926,1942,Antoni Mańkowski,,46954,,12,1,39,92766
163,2189,2208,Bolesław Limanowski,,46954,,12,1,39,92767
164,2902,2918,Maria Konopnicka,,46954,,12,1,39,92768
165,2627,2642,Eduard Formánek,,46958,,12,1,39,92769
166,2947,2959,David Pacher,,46958,,12,1,39,92770
167,677,689,Peter Nobile,,46960,,12,3,39,92771
168,696,709,Paul Sprenger,,46960,,12,3,39,92772
169,712,724,Karl Roesner,,46960,,12,3,39,92773
170,727,741,Ludwig Förster,,46960,,12,3,39,92774
171,747,766,Eduard van der Nüll,,46960,,12,3,39,92775
172,1278,1294,Moritz von Loehr,,46960,,12,3,39,92776
173,2834,2850,Gottfried Semper,,46960,,12,3,39,92777
174,2985,2991,Sophie,,46960,,12,3,39,92778
175,3020,3036,Karoline Auguste,,46960,,12,3,39,92779
176,3064,3070,Rudolf,,46960,,12,3,39,92780
177,3087,3097,Franz Karl,,46960,,12,3,39,92781
178,982,1002,Georg von Frauenfeld,,46966,,12,1,39,92782
179,35,59,Stephan (Stefan) Mautner,,46972,,12,1,39,92783
180,72,86,Isidor Mautner,,46972,,12,1,39,92784
181,44,58,Konrad Mautner,,46974,,12,1,39,92785
182,64,88,Stephan (Stefan) Mautner,,46974,,12,1,39,92786
183,91,115,Katharina (Käthy) Breuer,,46974,,12,1,39,92787
184,4405,4416,Josef Kainz,,46974,,12,1,39,92788
185,4443,4456,Max Reinhardt,,46974,,12,1,39,92789
186,44,58,Isidor Mautner,,46976,,12,1,39,92790
187,72,96,Stephan (Stefan) Mautner,,46976,,12,1,39,92791
188,36,50,Isidor Mautner,,46978,,12,1,39,92792
189,82,96,Konrad Mautner,,46978,,12,1,39,92793
190,879,893,Josef Breitner,,46978,,12,1,39,92794
191,896,915,Ferdinand Schmutzer,,46978,,12,1,39,92795
192,921,936,Hugo Charlemont,,46978,,12,1,,
193,1097,1110,Ludo Hartmann,,46984,,12,1,39,92796
194,1364,1387,Josip Juraj Strossmayer,,46986,,12,1,39,92797
195,1988,2000,Martin Nedić,,46986,,12,1,39,92798
196,2057,2088,Josef Graf Jel(l)ačić von Bužim,,46986,,12,1,39,92799
197,507,539,Sigmund Anton Graf von Hohenwart,,46990,,12,1,39,92800
198,600,622,Adam Fürst Czartoryski,,46990,,12,1,39,92801
199,705,721,Leopold Kiesling,,46990,,12,1,39,92802
200,727,739,Peter Nobile,,46990,,12,1,39,92803
201,2947,2964,Moritz Graf Fries,,46990,,12,1,39,92804
202,3777,3800,Johann(es) Peter Krafft,,46990,,12,1,39,92805
203,2428,2441,Karl Goldmark,,46992,,12,1,39,92806
204,2629,2642,Gustav Mahler,,46992,,12,1,39,92807
205,618,639,Christian Griepenkerl,,46994,,12,3,,
206,642,661,Siegmund l’Allemand,,46994,,12,3,39,92809
207,667,685,August Eisenmenger,,46994,,12,3,39,92810
208,1263,1295,Richard Graf Bienerth-Schmerling,,46994,,12,3,39,92811
209,1458,1474,Helene Petermann,,46994,,12,3,39,92812
210,1530,1540,Selma Kurz,,46994,,12,3,39,92813
212,2359,2363,Karl,,46994,,12,3,39,92815
213,71,80,Franz Alt,,47000,,12,1,,
214,848,861,Josef Mössmer,,47000,,12,1,39,92817
215,1275,1287,Josef Rebell,,47000,,12,1,39,92818
216,1290,1302,Thomas Ender,,47000,,12,1,39,92819
217,1305,1324,Friedrich Gauermann,,47000,,12,1,39,92820
218,3628,3649,Friedrich Jakob Gsell,,47000,,12,1,39,92821
219,3732,3746,Ludwig Lobmeyr,,47000,,12,1,39,92822
220,4499,4511,Gustav Klimt,,47000,,12,1,39,92823
221,5463,5478,Josef Engelhart,,47000,,12,1,39,92824
222,1278,1284,Johann,,47006,,12,1,39,92825
223,1203,1225,Josef Georg Kornhäusel,,47008,,12,1,39,92826
224,257,275,Stanisław Pareński,,47012,,12,1,39,92827
225,281,303,Aleksander Stopczański,,47012,,12,1,39,92828
226,388,403,Karl von Lützow,,47018,,12,1,39,92829
227,553,566,Franz Rumpler,,47018,,12,1,39,92830
228,655,674,Leopold Karl Müller,,47018,,12,1,39,92831
229,2318,2333,Julius Mayreder,,47018,,12,1,39,92832
230,2644,2653,Karl Moll,,47018,,12,1,39,92833
231,2656,2669,Alfred Roller,,47018,,12,1,39,92834
232,2672,2684,Wilhelm List,,47018,,12,1,39,92835
233,2687,2708,Max(imilian) Kurzweil,,47018,,12,1,39,92836
234,1012,1028,David Feuchtwang,,47020,,12,5,39,92837
235,1034,1049,Israel Taglicht,,47020,,12,5,39,92838
236,223,242,Christine Touaillon,,47022,,12,1,39,92839
237,239,250,Carl Czerny,,47030,,12,1,39,92840
238,2745,2763,Władysław Sikorski,,47032,,12,1,39,92841
239,930,946,Gottfried Semper,,47034,,12,1,39,92842
240,1364,1376,Alfons Mucha,,47034,,12,1,39,92843
241,1382,1402,Josef Václav Myslbek,,47034,,12,1,39,92844
242,679,695,Karl von Noorden,,47038,,12,1,39,92845
243,748,761,Adam Politzer,,47038,,12,1,39,92846
244,801,817,Gustav Alexander,,47038,,12,1,39,92847
245,387,399,Peter Nobile,,47040,,12,1,39,92848
246,402,421,Eduard van der Nüll,,47040,,12,1,39,92849
247,427,456,August Sicard von Sicardsburg,,47040,,12,1,39,92850
248,945,956,Václav Levý,,47040,,12,1,39,92851
249,967,978,Georg Fejér,,47042,,12,1,39,92852
250,2189,2236,István Graf Széchenyi von Sárvár und Felsővidék,,47042,,12,1,39,92853
251,2285,2320,Lajos Kossuth von Udvard und Kossut,,47042,,12,1,39,92854
252,4421,4449,Felix Prinz zu Schwarzenberg,,47042,,12,1,39,92855
253,4455,4487,Julius Jacob Freiherr von Haynau,,47042,,12,1,39,92856
254,1897,1912,Franz von Liszt,,47048,,12,1,39,92857
255,1292,1302,Lajos Pósa,,47050,,12,1,39,92858
256,2820,2832,Johann Arany,,47050,,12,1,39,92859
257,3201,3232,Kálmán Graf Tisza von Borosjenő,,47050,,12,1,,
258,3379,3398,Albert Graf Apponyi,,47050,,12,1,39,92860
259,135,171,Stella Freifrau von Hohenfels-Berger,,47052,,12,1,39,92861
260,1206,1232,Christian Friedrich Hebbel,,47052,,12,1,,
261,1368,1379,Karl Glossy,,47052,,12,1,39,92862
262,1776,1793,Arthur Schnitzler,,47052,,12,1,39,92863
263,1981,1997,Anton Bettelheim,,47052,,12,1,,
264,2146,2161,August Sedláček,,47056,,12,1,39,92864
265,2188,2201,Alois Jirásek,,47056,,12,1,39,92865
266,2227,2237,Max Dvořák,,47056,,12,1,39,92866
267,481,514,Richard Freiherr von Krafft-Ebing,,47060,,12,1,39,92867
268,1442,1459,Siegmund Kornfeld,,47060,,12,1,39,92868
269,1332,1347,Franz Joseph I.,,47062,,12,1,39,92869
270,250,266,Richard Kauffung,,47066,,12,3,,
271,1165,1183,Edmund von Hellmer,,47066,,12,3,39,92871
272,1837,1860,Karl Ludwig von Littrow,,47066,,12,3,39,92872
273,1866,1891,Joseph Johann von Littrow,,47066,,12,3,39,92873
274,1901,1912,Adolf Exner,,47066,,12,3,39,92874
275,1922,1940,Ferdinand von Arlt,,47066,,12,3,39,92875
276,1950,1970,Ferdinand Lotheissen,,47066,,12,3,39,92876
277,1980,1995,Victor von Lang,,47066,,12,3,39,92877
278,2093,2109,Friedrich Ohmann,,47066,,12,3,39,92878
279,503,532,August Schaeffer von Wienwald,,47068,,12,1,39,92879
280,1118,1138,Emil Jakob Schindler,,47068,,12,1,39,92880
281,1820,1831,Hans Makart,,47068,,12,1,39,92881
282,2649,2664,Auguste Fickert,,47068,,12,1,39,92882
283,2667,2702,Marie Freifrau Ebner von Eschenbach,,47068,,12,1,39,92883
284,2708,2721,Rosa Mayreder,,47068,,12,1,39,92884
285,497,508,Gedeon Petz,,47070,,12,1,39,92885
286,446,470,Josef Maximilian Petzval,,47072,,12,1,39,92886
287,745,777,Alexander Pawlowski von Jaroslaw,,47072,,12,1,39,92887
288,718,733,Anton von Rosas,,47074,,12,1,39,92888
289,1282,1320,Arthur Freiherr Seckendorff von Gudent,,47076,,12,1,39,92889
290,318,331,Adolf Bäuerle,,47080,,12,1,39,92890
291,448,471,Johann Valentin Schickh,,47080,,12,1,39,92891
292,695,709,Karl Bernbrunn,,47080,,12,1,39,92892
293,785,805,Franz von Miklosichs,,47082,,12,1,,
294,961,984,Vuk Stefanović Karadžić,,47082,,12,1,39,92893
295,990,1015,Ivan Kukuljević Sakcinski,,47082,,12,1,39,92894
296,3101,3126,Josefine Freiin von Knorr,,47082,,12,1,39,92895
297,3470,3486,Friedrich Müller,,47086,,12,1,39,92896
298,3535,3548,Alfred Ludwig,,47086,,12,1,39,92897
299,354,372,Wilhelm von Hartel,,47088,,12,1,39,92898
300,378,393,Richard Heinzel,,47088,,12,1,39,92899
301,435,449,Jakob Schipper,,47088,,12,1,39,92900
302,520,534,Karl Tomaschek,,47088,,12,1,39,92901
303,590,605,Wilhelm Scherer,,47088,,12,1,39,92902
304,3271,3285,Edmund Husserl,,47092,,12,1,39,92903
305,3316,3331,Alexius Meinong,,47092,,12,1,39,92904
306,3337,3369,Christian Freiherr von Ehrenfels,,47092,,12,1,39,92905
307,3397,3422,Thomas (Garrigue) Masaryk,,47092,,12,1,39,92906
308,464,489,Johann Ritter von Scherer,,47094,,12,1,39,92907
309,498,516,Felix Otto Dessoff,,47098,,12,1,39,92908
310,522,540,Johann Rufinatscha,,47098,,12,1,39,92909
311,2323,2338,Johannes Brahms,,47098,,12,1,39,92910
312,2395,2408,Karl Goldmark,,47098,,12,1,39,92911
313,2415,2428,Gustav Mahler,,47098,,12,1,39,92912
314,2998,3010,Robert Fuchs,,47098,,12,1,39,92913
315,45,63,Alfred Burgerstein,,47108,,12,1,39,92914
316,117,135,Alfred Burgerstein,,47108,,12,1,39,92915
317,564,575,Eduard Sueß,,47108,,12,1,39,92916
318,2621,2639,August Schaurhofer,,47112,,12,1,39,92917
319,3231,3246,Friedrich Piffl,,47112,,12,1,39,92918
320,5061,5071,Karl Seitz,,47112,,12,1,39,92919
321,1992,2017,Matouš (František) Klácel,,47116,,12,1,39,92920
322,2020,2032,Josef Durdík,,47116,,12,1,39,92921
323,2035,2051,Otakar Hostinský,,47116,,12,1,39,92922
324,2054,2079,Thomas (Garrigue) Masaryk,,47116,,12,1,39,92923
325,2250,2267,František Šeracký,,47116,,12,1,39,92924
326,1261,1276,France Prešeren,,47120,,12,1,39,92925
327,2063,2092,Bartholomäus (Jernej) Kopitar,,47120,,12,1,39,92926
328,2113,2125,Fran Metelko,,47120,,12,1,39,92927
329,2799,2818,Pavel Josef Šafařík,,47120,,12,1,39,92928
330,1921,1933,Fran Levstik,,47122,,12,1,39,92929
331,879,899,Ludwig van Beethoven,,47126,,12,1,39,92930
332,1362,1380,Sigismund Thalberg,,47126,,12,1,39,92931
333,1383,1408,Marie Leopoldine Blahetka,,47126,,12,1,39,92932
334,1439,1454,Franz von Liszt,,47126,,12,1,39,92933
335,1736,1751,Ignaz Moscheles,,47126,,12,1,39,92934
336,3031,3043,Anton Reicha,,47126,,12,1,39,92935
337,1207,1263,Stephanie Fürstin Lónyay von Nagylónya und Vásárosnamény,,47128,,12,1,39,92936
338,1301,1307,Rudolf,,47128,,12,1,39,92937
339,1825,1854,Franz Friedrich Richard Genée,,47128,,12,1,39,92938
340,1902,1919,Alexander Girardi,,47128,,12,1,39,92939
341,209,222,Zdenko Skraup,,47130,,12,5,39,92940
342,228,246,Guido Goldschmiedt,,47130,,12,5,39,92941
343,448,463,Josef Dobrovský,,47132,,12,1,39,92942
344,1569,1584,Maks Pleteršnik,,47132,,12,1,39,92943
345,1386,1397,Etbin Costa,,47138,,12,1,39,92944
346,1877,1898,Eduard von Bauernfeld,,47140,,12,1,39,92945
347,1410,1425,Franz von Liszt,,47142,,12,1,39,92946
348,1931,1945,Heinrich Laube,,47142,,12,1,39,92947
349,900,910,Karl Kraus,,47152,,12,1,39,92948
350,779,792,Theodor Herzl,,47154,,12,3,,
351,2494,2515,Johann Strauß (Vater),,47158,,12,1,39,92950
352,2521,2534,Joseph Lanner,,47158,,12,1,39,92951
353,450,463,Joseph Lanner,,47160,,12,1,39,92952
354,1353,1373,Johann Strauß (Sohn),,47160,,12,1,39,92953
355,2584,2594,Jakob Dont,,47160,,12,1,39,92954
356,2432,2439,Leopold,,47162,,12,1,39,92955
357,362,376,Hermann Helmer,,47166,,12,3,39,92956
358,451,463,Peter Nobile,,47168,,12,1,39,92957
359,1142,1173,Rudolf von Eitelberger-Edelberg,,47168,,12,1,39,92958
360,1127,1141,Heinrich Laube,,47174,,12,5,39,92959
361,1612,1629,Heinrich Anschütz,,47174,,12,5,39,92960
362,2098,2109,Josef Kainz,,47174,,12,5,39,92961
363,2130,2146,Marie Geistinger,,47174,,12,5,39,92962
364,548,561,Koloman Moser,,47176,,12,1,39,92963
365,603,616,Andreas Groll,,47176,,12,1,39,92964
366,828,843,Adele von Stark,,47176,,12,1,39,92965
367,2578,2590,Gustav Klimt,,47176,,12,1,39,92966
368,385,397,Otto Neurath,,47178,,12,1,39,92967
369,753,764,Karl Karger,,47178,,12,1,39,92968
370,2346,2358,Ernst Burger,,47180,,12,1,39,92969
371,259,270,Carl Friese,,47182,,12,1,39,92970
376,26,30,,,46032,,12,4,40,94029
377,144,153,,,46032,,12,4,40,94030
378,49,100,,,46032,,12,4,41,94033
379,66,71,,,45248,,12,4,,
380,86,121,,,45248,,12,4,41,94038
381,615,644,,,45248,,12,4,41,94040
382,128,157,,,45248,,12,4,41,94043
383,348,387,,,45248,,12,4,41,94044
384,544,599,,,45248,,12,4,41,94046
385,109,155,,,44752,,12,4,41,94049
387,248,312,,,44752,,12,4,40,94051
388,51,108,,,44752,,12,4,41,94054
389,314,424,,,44752,,12,4,41,94055
390,430,483,,,44752,,12,4,41,94056
391,2466,2542,,,44752,,12,4,41,94059
392,2544,2601,,,44752,,12,4,41,94068
393,32,36,,,46032,,12,4,40,94073
394,41,47,,,46032,,12,4,40,94076
395,115,127,,,47124,,12,5,40,94081
396,141,146,,,47124,,12,5,40,94082
397,203,250,,,47124,,12,5,41,94088
398,550,604,,,47124,,12,5,41,94096
399,611,649,,,47124,,12,5,41,94097
400,761,817,,,47124,,12,5,41,94099
401,1780,1816,,,47124,,12,5,41,94109
402,1818,1881,,,47124,,12,5,41,94143
403,9,15,,,43582,,12,4,40,94144
404,50,57,,,43582,,12,4,40,94145
405,72,76,,,43582,,12,4,,
406,95,99,,,43582,,12,4,40,94147
408,165,169,,,43582,,12,4,40,94154
409,193,198,,,43582,,12,4,40,94155
410,243,249,,,43582,,12,4,40,94156
425,13,28,,,43276,,12,4,41,94176
426,120,132,,,43582,,12,4,41,94177
427,13,23,,,41466,,12,4,41,94178
428,211,216,,,41466,,12,4,,
429,230,235,,,41466,,12,4,40,94180
430,465,475,,,41466,,12,4,41,94181
431,127,159,,,40638,,12,4,41,94187
432,214,235,,,40638,,12,4,41,94189
433,55,93,,,39358,,12,4,41,94192
434,132,146,,,39358,,12,4,41,94196
435,346,353,,,39358,,12,4,41,94199
436,105,120,,,38758,,12,4,41,94200
437,182,191,,,38758,,12,4,40,94201
438,192,205,,,38758,,12,4,40,94202
439,207,212,,,38758,,12,4,40,94203
440,245,284,,,38758,,12,4,41,94205
441,21,36,,,38892,,12,4,41,94207
442,41,45,,,38892,,12,4,,
443,79,88,,,38892,,12,4,40,94209
444,101,111,,,38892,,12,4,40,94210
445,124,128,,,38892,,12,4,,
446,146,159,,,38892,,12,4,41,94217
447,177,219,,,38892,,12,4,41,94223
448,13,23,,,38652,,12,4,41,94226
449,296,300,,,38652,,12,4,,
450,2005,2027,,,38652,,12,4,41,94244
451,40,50,,,38708,,12,4,41,94253
452,74,85,,,38708,,12,4,41,94261
453,120,133,,,38708,,12,4,41,94275
454,199,212,,,38708,,12,4,41,94281
455,239,242,,,38708,,12,4,40,94282
456,25,32,,,38022,,12,4,40,94286
457,17,41,,,37466,,12,4,41,94289
458,71,81,,,37466,,12,4,41,94290
459,158,163,,,37466,,12,4,40,94291
460,176,181,,,37466,,12,4,40,94292
461,216,220,,,37466,,12,4,40,94293
462,231,237,,,37466,,12,4,40,94295
463,21,31,,,37246,,12,4,41,94296
464,219,237,,,37246,,12,4,40,94297
465,260,270,,,37246,,12,4,40,94298
466,289,293,,,37246,,12,4,,
467,356,366,,,37246,,12,4,41,94300
468,463,473,,,37246,,12,4,41,94301
469,46,50,,,36758,,12,4,40,94318
470,97,103,,,36758,,12,4,40,94319
471,108,112,,,36758,,12,4,40,94320
472,492,506,,,36758,,12,4,41,94327
473,515,540,,,36758,,12,4,41,94330
474,26,30,,,36780,,12,4,,
475,55,65,,,36780,,12,4,41,94332
476,236,240,,,36780,,12,4,,
477,289,293,,,36780,,12,4,,
478,13,23,,,36452,,12,4,41,94342
479,28,32,,,36452,,12,4,,
480,99,133,,,43276,,12,4,41,94345
481,95,99,,,36452,,12,4,40,94347
482,629,642,,,36452,,12,4,41,94365
483,132,136,,,35322,,12,4,,
484,169,177,,,35322,,12,4,40,94367
485,219,226,,,35322,,12,4,40,94368
486,85,95,,,34956,,12,4,41,94370
487,205,219,,,34956,,12,4,41,94374
488,291,296,,,34956,,12,4,40,94375
489,304,321,,,34956,,12,4,41,94377
490,626,644,,,34956,,12,4,41,94379
491,36,57,,,34468,,12,4,41,94380
492,177,181,,,34468,,12,4,40,94381
493,308,318,,,34468,,12,4,40,94382
494,396,407,,,34468,,12,4,40,94384
495,133,143,,,34232,,12,4,40,94385
496,150,169,,,34232,,12,4,41,94395
497,13,23,,,33060,,12,4,41,94396
498,164,175,,,33060,,12,4,40,94407
499,437,452,,,33060,,12,4,40,94408
500,492,537,,,33060,,12,4,41,94411
501,36,46,,,32676,,12,4,41,94412
502,51,56,,,32676,,12,4,,
503,202,207,,,32676,,12,4,40,94414
504,226,233,,,32676,,12,4,40,94415
505,248,253,,,32676,,12,4,,
506,364,368,,,32676,,12,4,40,94418
507,522,527,,,32676,,12,4,,
508,531,536,,,32676,,12,4,40,94420
509,700,717,,,32676,,12,4,41,94423
510,27,37,,,32502,,12,4,41,94424
511,166,172,,,32502,,12,4,40,94425
512,187,192,,,32502,,12,4,40,94426
513,229,233,,,32502,,12,4,40,94427
514,287,295,,,32502,,12,4,40,94450
515,311,327,,,32272,,12,4,41,94458
516,512,517,,,32272,,12,4,,
517,521,526,,,32272,,12,4,40,94460
518,587,594,,,32272,,12,4,40,94461
519,652,656,,,32272,,12,4,,
520,974,988,,,32272,,12,4,40,94463
521,1037,1106,,,32272,,12,4,41,94469
522,1138,1146,,,32272,,12,4,40,94470
523,1527,1531,,,32272,,12,4,,
524,1730,1764,,,32272,,12,4,41,94480
525,2065,2102,,,32272,,12,4,41,94484
526,2472,2479,,,32272,,12,4,40,94485
527,2592,2599,,,32272,,12,4,40,94486
528,2901,2936,,,32272,,12,4,41,94488
529,2976,3022,,,32272,,12,4,41,94498
530,3164,3214,,,32272,,12,4,41,94503
531,187,194,,,32360,,12,4,40,94508
532,211,217,,,32360,,12,4,40,94509
533,219,225,,,32360,,12,4,40,94510
534,245,252,,,32360,,12,4,40,94511
535,349,360,,,32360,,12,4,40,94514
536,436,445,,,32360,,12,4,40,94515
537,520,533,,,32360,,12,4,41,94521
538,641,653,,,32360,,12,4,41,94522
539,36,46,,,31336,,12,4,41,94523
540,89,94,,,31336,,12,4,40,94524
541,11,25,,,30714,,12,5,41,94526
542,73,81,,,30714,,12,5,40,94527
543,93,110,,,30714,,12,5,41,94529
544,151,157,,,30714,,12,5,40,94530
545,201,212,,,30714,,12,5,41,94531
546,330,342,,,30714,,12,5,40,94532
547,387,404,,,30714,,12,5,41,94534
548,456,491,,,30714,,12,5,41,94536
549,70,80,,,30038,,12,4,41,94539
550,158,166,,,30038,,12,4,40,94540
551,196,205,,,30038,,12,4,40,94541
552,242,249,,,30038,,12,4,40,94542
553,259,267,,,30038,,12,4,40,94543
554,309,319,,,30038,,12,4,41,94544
555,343,363,,,30038,,12,4,41,94549
556,110,141,,,30124,,12,4,41,94552
557,17,34,,,30124,,12,4,41,94558
558,311,328,,,30124,,12,4,41,94559
559,518,538,,,30124,,12,4,41,94565
560,660,677,,,30124,,12,4,41,94566
561,885,929,,,30124,,12,4,41,94569
562,45,55,,,29422,,12,4,41,94570
563,219,229,,,29422,,12,4,40,94571
564,404,430,,,29422,,12,4,41,94574
565,52,56,,,27418,,12,4,40,94576
566,19,27,,,29184,,12,5,40,94578
567,45,51,,,29184,,12,5,40,94579
568,53,61,,,29184,,12,5,40,94580
569,65,71,,,29184,,12,5,40,94581
570,106,113,,,29184,,12,5,40,94582
571,115,120,,,29184,,12,5,40,94583
572,122,132,,,29184,,12,5,40,94584
573,136,145,,,29184,,12,5,40,94587
574,210,217,,,29184,,12,5,40,94588
575,28,48,,,27418,,12,4,41,94593
576,279,297,,,29184,,12,5,41,94594
577,72,82,,,27418,,12,4,40,94595
578,140,144,,,27418,,12,4,40,94598
